STUDY,SITE,SITEID,DATE,TRT,CC_AGB
LTAR_CCE,NP,NP_I201,09_10_2020,ASP,50.9
LTAR_CCE,NP,NP_I202,09_10_2020,ASP,NA
LTAR_CCE,NP,NP_I203,09_10_2020,ASP,106.4
LTAR_CCE,NP,NP_I204,09_10_2020,ASP,34.9
LTAR_CCE,NP,NP_I205,09_10_2020,ASP,140.4
LTAR_CCE,NP,NP_I206,09_10_2020,ASP,76.5
LTAR_CCE,NP,NP_I207,09_10_2020,ASP,26.7
LTAR_CCE,NP,NP_I208,09_10_2020,ASP,78.9
LTAR_CCE,NP,NP_I209,09_10_2020,ASP,82.8
LTAR_CCE,NP,NP_I210,09_10_2020,ASP,43.4
LTAR_CCE,NP,NP_I201,05_04_2021,ASP,12.1
LTAR_CCE,NP,NP_I202,05_04_2021,ASP,8.6
LTAR_CCE,NP,NP_I203,05_04_2021,ASP,7.8
LTAR_CCE,NP,NP_I204,05_04_2021,ASP,1.7
LTAR_CCE,NP,NP_I205,05_04_2021,ASP,13.6
LTAR_CCE,NP,NP_I206,05_04_2021,ASP,10.5
LTAR_CCE,NP,NP_I207,05_04_2021,ASP,4.3
LTAR_CCE,NP,NP_I208,05_04_2021,ASP,6.2
LTAR_CCE,NP,NP_I209,05_04_2021,ASP,20.0
LTAR_CCE,NP,NP_I210,05_04_2021,ASP,9.9
LTAR_CCE,NP,NP_I201,10_05_2022,ASP,2.4
LTAR_CCE,NP,NP_I202,10_05_2022,ASP,2.3
LTAR_CCE,NP,NP_I203,10_05_2022,ASP,3.3
LTAR_CCE,NP,NP_I204,10_05_2022,ASP,3.1
LTAR_CCE,NP,NP_I205,10_05_2022,ASP,3.8
LTAR_CCE,NP,NP_I206,10_05_2022,ASP,3.5
LTAR_CCE,NP,NP_I207,10_05_2022,ASP,1.9
LTAR_CCE,NP,NP_I208,10_05_2022,ASP,3.0
LTAR_CCE,NP,NP_I209,10_05_2022,ASP,2.4
LTAR_CCE,NP,NP_I210,10_05_2022,ASP,2.1
,,,,,
