Site,Treatment,Location,Block,Year,Date,Days.After.Planting,    total.flux,  R^2,Rsqr_cleaned,ParameterA,ParameterB,ParameterC
Mandan,BAU,A1,A,2019,613,27,10.208,0.998291,10.208, 'A': 155.16573217409106, 'B': -17.239205295578493, 'C': 12.10508012843148
Mandan,BAU,A1,A,2019,703,47,0.225513,0.868203,NA, 'A': 0.44977788169970073, 'B': -3.368757060977716, 'C': 2.87354218319422
Mandan,BAU,A1,A,2019,1023,159,1.60128,0.972813,1.60128, 'A': 5.240938397104601, 'B': -6.128882853820119, 'C': 5.26065277427529
Mandan,BAU,A2,A,2019,613,27,5.98145,0.999252,5.98145, 'A': 62.6214213028121, 'B': -12.919945509452361, 'C': 9.20632187089473
Mandan,BAU,A2,A,2019,703,47,0.316402,0.110172,NA, 'A': 0.3375811234768834, 'B': -2.056897177374446, 'C': 2.7532614839370724
Mandan,BAU,A2,A,2019,1023,159,0.969938,0.988108,0.969938, 'A': 3.4908658273557123, 'B': -8.191920287471957, 'C': 7.863008079052592
Mandan,BAU,A3,A,2019,613,27,5.21474,0.999176,5.21474, 'A': 58.174170300801784, 'B': -13.609758699841878, 'C': 9.785373331930385
Mandan,BAU,A3,A,2019,703,47,0.151297,0.0621901,NA, 'A': 0.14246246442457683, 'B': 1.3898863751129922, 'C': -1.972791641157924
Mandan,BAU,A3,A,2019,1023,159,0.364422,0.505649,NA, 'A': 0.1444519061646856, 'B': 1.354109501488379, 'C': 0.37164384490528574
Mandan,BAU,B1,B,2019,613,27,3.83519,0.989607,3.83519, 'A': 27.0051598309363, 'B': -9.542117619996537, 'C': 6.723226799401659
Mandan,BAU,B1,B,2019,703,47,0.266643,0.987894,0.266643, 'A': 0.002333465882880544, 'B': 18.95996708511504, 'C': -16.143573762726337
Mandan,BAU,B1,B,2019,1023,159,0.733909,0.952283,NA, 'A': 0.42481924720728176, 'B': 0.06987851754897581, 'C': 1.2784904397558314
Mandan,BAU,B2,B,2019,613,27,4.30415,0.999605,4.30415, 'A': 11.828595698352272, 'B': 2.9849966835231334, 'C': -15.614658727384175
Mandan,BAU,B2,B,2019,703,47,0.232704,0.405716,NA, 'A': 0.5802385389644258, 'B': -4.411955150784023, 'C': 3.673064356986973
Mandan,BAU,B2,B,2019,1023,159,0.723101,0.932684,NA, 'A': 0.10209231754831587, 'B': 5.391337316258349, 'C': -2.897745963904434
Mandan,BAU,B3,B,2019,613,27,4.74173,0.999335,4.74173, 'A': 40.21258140207396, 'B': -9.90827834925668, 'C': 5.116695293752226
Mandan,BAU,B3,B,2019,703,47,0.216241,0.988957,0.216241, 'A': 0.05391053968942145, 'B': 6.432487186209185, 'C': -5.768121671652401
Mandan,BAU,B3,B,2019,1023,159,0.96936,0.842574,NA, 'A': 0.6421030540615882, 'B': 0.2617745368315876, 'C': 0.7147786611357755
Mandan,BAU,C1,C,2019,613,27,3.00027,0.990932,3.00027, 'A': 9.004452336774351, 'B': 1.3015860979016187, 'C': -11.27597352395132
Mandan,BAU,C1,C,2019,703,47,0.500517,0.889981,NA, 'A': 1.1262775199972996, 'B': -4.53368792765037, 'C': 4.1936046336986825
