Date,DoY,Year,Crop,Site,Treatment,Rep,Sample,Site.Rep,Percent_H2O,AGB_g_m2,Grain_yield_g_m2,Grain_yield_kg_ha,Stover_g_m2,Harvest_index
8/20/2019,232,2019,SpringWheat,H501,BAU,1,1,BAU.1,18.7,1047,397,3970,650,37.9
8/20/2019,232,2019,SpringWheat,H502,BAU,2,1,BAU.2,22.8,913,306,3063.2,607,33.5
8/20/2019,232,2019,SpringWheat,H503,BAU,3,1,BAU.3,22.2,996,368,3678,628,36.9
8/20/2019,232,2019,SpringWheat,H504,BAU,4,1,BAU.4,23.3,868,315,3153.2,553,36.3
8/20/2019,232,2019,SpringWheat,H505,BAU,5,1,BAU.5,29.3,1092,294,2942,798,26.9
8/20/2019,232,2019,SpringWheat,H506,BAU,6,1,BAU.6,22.9,984,317,3169.6,667,32.2
8/20/2019,232,2019,SpringWheat,H507,BAU,7,1,BAU.7,32.2,1294,517,5168,777,39.9
8/20/2019,232,2019,SpringWheat,H508,BAU,8,1,BAU.8,27,1110,439,4394.4,671,39.6
8/20/2019,232,2019,SpringWheat,H509,BAU,9,1,BAU.9,22,840,289,2886.8,552,34.4
8/20/2019,232,2019,SpringWheat,H510,BAU,10,1,BAU.10,21.3,958,230,2297.2,728,24
8/21/2019,233,2019,SpringWheat,I201,ASP,1,1,ASP.1,22,890,338,3376,552,37.9
8/21/2019,233,2019,SpringWheat,I202,ASP,2,1,ASP.2,18.2,753,266,2660,487,35.3
8/21/2019,233,2019,SpringWheat,I203,ASP,3,1,ASP.3,19.9,994,343,3429.6,651,34.5
8/21/2019,233,2019,SpringWheat,I204,ASP,4,1,ASP.4,19.3,879,315,3151.6,564,35.9
8/21/2019,233,2019,SpringWheat,I205,ASP,5,1,ASP.5,24.4,691,253,2528.8,438,36.6
8/21/2019,233,2019,SpringWheat,I206,ASP,6,1,ASP.6,22.3,845,329,3285.2,516,38.9
8/21/2019,233,2019,SpringWheat,I207,ASP,7,1,ASP.7,23.3,754,232,2320.8,522,30.8
8/21/2019,233,2019,SpringWheat,I208,ASP,8,1,ASP.8,22.9,803,323,3232,480,40.2
8/21/2019,233,2019,SpringWheat,I209,ASP,9,1,ASP.9,20.7,710,210,2097.2,500,29.5
8/21/2019,233,2019,SpringWheat,I210,ASP,10,1,ASP.10,25.5,614,224,2242.8,390,36.5
10/1/2020,275,2020,Corn,H501,BAU,1,1,BAU.1,22.7,1109,539,5390.566337,570,48.6
10/1/2020,275,2020,Corn,H501,BAU,1,2,BAU.1,25.4,952,568,5682.053031,384,59.7
10/1/2020,275,2020,Corn,H501,BAU,1,3,BAU.1,21.2,902,438,4379.835149,464,48.6
10/1/2020,275,2020,Corn,H501,BAU,1,4,BAU.1,1.2,878,433,4331.397552,445,49.3
10/1/2020,275,2020,Corn,H502,BAU,2,1,BAU.2,12.4,1026,513,5125.77414,513,50
10/1/2020,275,2020,Corn,H502,BAU,2,2,BAU.2,94.8,1090,504,5035.142015,586,46.2
10/1/2020,275,2020,Corn,H502,BAU,2,3,BAU.2,17.6,1059,518,5183.899257,540,49
